角色,台词,情感分数
于连,我找德瑞纳先生。,0.910588
于连,德瑞纳先生：我就是，你是？,0.276184
于连,我叫于连・索雷尔，是您的家庭教师。,0.614194
于连,瓦勒诺：他就是你们的家庭教师？他不是木匠索雷尔的儿子么？,0.0283946
于连,瓦勒诺夫人：木匠的儿子？,0.134924
于连,瓦勒诺：木匠的儿子当老师，可真有意思。他识字吗？,0.633269
于连,是的，我不仅会读书写字，还能用拉丁文读写。,0.986346
于连,德瑞纳先生：那就请您背几句拉丁文来听听吧，来吧！,0.169851
于连,好吧。夫人，我看您手上有一本圣经。随便抽一段话告诉我开头的几个词，我能接着背出来。,0.83135
于连,夫人？,0.0360591
于连,他们很乖，夫人。,0.986432
于连,没有。,0.0180064
于连,我觉得我们应该挺合适的，可惜我得完成我的使命。,0.994919
于连,我想成为一名教士。,0.869145
于连,是的，夫人。,0.893482
于连,对不起，请原谅我，请允许我退下。,0.000419808
于连,夫人？,0.0360591
于连,我请求您让我保守住这个秘密。,0.54947
于连,德瑞纳先生：你在这儿呀！脸色这么苍白。你要是能好好装扮，还是一个挺美的女人的。涂点腮红能让你的脸颊更显气色，还可以在眼睛上用一些闪亮的蓝色眼影...你知道大家都说你什么吗？我不知道怎么说才能不冒犯你——说你是个平凡的女人。人家说，市长的夫人应该是优雅、精致的楷模。你知道我不在乎别人的闲言碎语，我也喜欢你本来的样子，但人家会说是我没钱不给你买新裙子。你穿的风格有点过时了，像10年代的，现在毕竟已经是1828年了！虽然维利叶只是个外省的小城市，但正因此，我们更应该过得体面！你看看瓦勒诺夫人，她刚置备了两匹诺曼底的大马，专门用来拉她的马车，这太张扬了！她肯定是故意的，肯定是嫉妒！嫉妒我有身份，嫉妒我雇佣了于连。这个小于连，真是我的一招妙棋！不过雇佣这么个农民，花费还是太贵了。,0.720966
于连,德瑞纳先生：豪宅大庄园 仆人成群,0.975108
于连,绣花小丝帕 藏在衣柜,0.967725
于连,荣华富贵,0.979191
于连,这才是真正重要的事,0.80094
于连,雕花银勺 厚厚的地契,0.933409
于连,东西越贵 身价才越高,0.00793276
于连,显而易见,0.975595
